Id,Prediction
0,0,218,449
1,0,163,288
2,0,108,207
3,0,267,476
4,0,191,326
5,0,99,232
6,0,59,158
7,0,175,558
8,0,47,49
9,0,375,485
10,0,162,199
11,0,105,128
12,1,384,464
13,0,99,233
14,0,358,627
15,1,257,343
16,1,370,144
17,0,104,196
18,0,170,230
19,0,154,296
20,1,318,350
21,0,83,160
22,0,246,675
23,0,252,545
24,0,92,153
25,0,201,302
26,0,373,562
27,0,132,243
28,0,383,499
29,0,98,132
30,0,342,927
31,0,46,180
32,0,177,279
33,0,193,387
34,1,183,266
35,0,64,82
36,0,177,326
37,1,258,348
38,0,318,458
39,0,358,922
40,1,237,227
41,0,68,91
42,1,245,203
43,0,274,570
44,0,194,492
45,0,133,275
46,0,137,216
47,0,52,73
48,0,164,319
49,1,305,386
50,0,192,524
51,1,284,353
52,1,194,269
53,0,49,83
54,0,46,104
55,0,134,163
56,1,96,75
57,1,332,304
58,0,80,175
59,1,410,499
60,0,142,233
61,1,51,46
62,1,275,319
63,1,221,251
64,0,112,5502
65,1,201,226
66,1,257,286
67,0,284,618
68,1,202,253
69,1,100,81
70,0,149,211
71,0,152,243
72,1,331,336
73,0,131,321
74,0,109,1550
75,0,72,115
76,0,100,245
77,0,235,339
78,0,135,187
79,0,191,326
80,0,90,190
81,0,171,279
82,1,178,213
83,0,506,1287
84,0,112,175
85,0,154,366
86,0,125,411
87,0,60,111
88,0,95,297
89,0,70,252
90,0,92,101
91,0,107,223
92,0,341,494
93,1,480,466
94,0,86,219
95,0,165,297
96,0,81,222
97,0,142,292
98,1,293,233
99,0,63,128
100,0,97,139
101,0,85,189
102,0,35,76
103,0,106,167
104,0,92,206
105,0,97,207
106,0,181,280
107,0,74,112
108,0,87,228
109,0,106,188
110,0,116,188
111,0,54,234
112,0,105,126
113,0,211,350
114,0,83,126
115,1,551,502
116,0,87,160
117,0,132,252
118,0,151,232
119,1,322,282
120,0,180,288
121,0,144,517
122,0,79,147
123,1,207,283
124,0,200,359
125,0,47,116
126,0,273,373
127,0,165,190
